url	description
https://mail.omahasteaks.com/pub/cc?_ri_=X0Gzc2X%3DAQpglLjHJlYQGkczbmNIfza7OPCvedzgzdzfzdzgNKD72cynTHh1Ljl0zdnJs5KIrDIwKzfzaVXtpKX%3DDYAWCY&_ei_=EgVXp6CI4RlaJAi2opWjw1TQBgH99i5uYOwx1Flct-Mz5XZSaWrqTaeAOvSUUTby4-oTUIcAPVJzwZM_jXaKLi_HBed_RRH1FXsuZ4HgPrAL6lwpqm70NEJI0yJoKiha9escrh6ZnbYf85lkaTfoKXTd-Cd84d60iucS0phG5Rr4JrAikcIptrYpCxFstsTPsVASn1usCyAo9q56b9uZMxc5kWIOe_syDfNxlb20vq6ScTnpkAWw8r6LKuPAp0dQyuYbZfyxECfZjj8tfFhjxIP8BAIVqtotkO1wm-eOyQSMxJyRwPZgoKbviFMKVVBEVNU.&_di_=asmv1ufdm65q9cc3p7er8s4p96jct2vg9gdm23j50l1njsqrvjig	50% OFF Select Items
http://links.mail.retailmenot.com/ss/c/tz-6yq8DY8jCipGWiS2mwBJTjrWYkHfzB_SjR7mDFd_jxZYy8GgSvQBn89aSJMPoRFq20QDbsMcyISNizb6YD0jtwoQHCGyPjR7hc6-mq1Jq5hdiIh2naq5-wTVlFMz1L3qMowom5FYwzbh0tT6Y0A/334/FiHsxFlZSAK_aou_wi9eig/h59/pa5mK7EUZN6hQBJGebHTJXTJYRBV7H5joVvOTr9gFVM	Motherhood Maternity logo Online Cash Back 11% Cash Back For Online Purchases Sitewide
https://brc.emails.rakuten.com/c/6/?T=OTczMjU2Mzc%3AMDItYjIwMTg0LTk3MzVkNjljMmEzNTQ5YWQ5ODMxM2FmZWI0NmMxYzRi%3AcGFtbWNkdWNAeWFob28uY29t%3AODQ4OTU1MjQ%3AZmFsc2U%3ANDU%3A%3AaHR0cHM6Ly93d3cucmFrdXRlbi5jb20vS2VuZHJhLVNjb3R0XzE2MjQwLXhmYXM_c3BlY2lhbD0xMzAyMjA1NSZlZWlkPTQ4NzI1JmVidG9rZW49ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdFNXUWlPaUl4T0RNMU5VUXhNams0TjBJeE5FUXpOMEkwTlRRNE1DSjkuMDVxb1lpS1BiYUF3N0ZELUZBU2VZSlBucGRtelc0VDdxd0J5cFJDZXRUTSZ1dG1fc291cmNlPXJha3V0ZW4mdXRtX21lZGl1bT1lbWFpbCZ1dG1fY2hhbm5lbD1lbWFpbCZ1dG1fY2FtcGFpZ249MjAyMDA3MDJfcHJvbW9fanVseWZvdXJ0aHdlZWtfTEMmdXRtX2NvbnRlbnQ9MjAyMC0wNy0wMg&K=3-E9d1ZU9oexOIeK_rC8vA	Kendra Scott 4% Cash Back
http://links.bradsdeals.com/ss/c/LRVCKN7aOGSN8ueB-y13zHCplF2jU9jQ5jLQUC53I96sXbGzEX6B5rxAROaWVDNaJT6L2ync6ZzQInhVH-F6rVESG1Xk2PBOfnhAXEWBCkeu9yMJhWnLvvcTpjlnmAFyVejIVUAPvCKvv2fUG3PZeRTPZU9z7qNq8vTtA2npYjC0G_SB0kn6g6qXxQ8_O9xg4MYlRfk3II5A4zqMXvqnFUhG7EKUUi36Zh0k2szQ3yWg2QaYHFXoSFn4leoVd2SH/333/UuAMmLRzR26EFS_CtULuiA/h49/DofYLrkRAcso4h_kz-KjYiKKNm4HfJMsw2A0avRR5TI	Children's Place: 75-80% Off Clearance
http://t.email.monoprice.com/r/?id=h293fddb3,50b183d,50bd63f	20% off Commercial Series High Speed HDMI Cable 3 or 5 Packs 4K@60Hz or 1080p@60Hz | CL2 Rated | 3ft - 50ft | Backed by a Lifetime Warranty
https://www.dunhilltraveldeals.com/c/r/9434?u=3199&v=a&s=14585971&utm_medium=email&utm_source=1&utm_campaign=3199	Mexico MEXICO From $1099 per guest. SEE VOYAGES
http://enews.jomashop.com/q/VnYccVlCOcB0X-Tch_zwUMuyFg03avmKMmtZcOJcGFtbWNkdWNAeWFob28uY29tw4gLc8SkYm2c4FLo4mlSR8SXDSrLEQ	OMEGA Constellation Star MOP S/S Ladies $2,650.00 SAVE 54%
http://e.origins.com/t/l?ssid=39226&subscriber_id=auobteczvnmzkzvcfdfhlzyagjojbhb&delivery_id=bcijzffetecbgcoplucfmopsuyfpbma&td=YugLDd4jcBEvF7ezcN5ziwIWX3ig9KJ1no-XugZ_SdWIzxXl-l-KBZeJaM44oBVO0yuVsR8pTN_c6mISpFOPi6JFEkeeXARk68wdPtw6MgQHzLr8HU3HIsfGsPf_ActIroHgVMJ2PZfCyCZcJzi3FgXUER0mAZawzZBBQKZJEi-78H8Rqxiv1js4B09MQdWBlXE0XW63DW8bzR5-PFkndyfHSoPjE74xoBrWq2_y5WqY7DxaX_mXmgR0qgis2g26ZAgDgKQh5Z5rmnicUosvTlWN3voq4asKeTkmYLHUFLSuZ6p_79nUP2Ww	FREE SHIPPING | Take care of you we will take care of your shipping
http://t.lt02.net/q/vyvpjLhSwYQ0X2ApyBtNmWhVyC5IBNfn1oPZcOJcGFtbWNkdWNAeWFob28uY29tw4gRpDj_cn2dLlLHgQO9FQDCrkKV4Q	6 COLORS Under Armour Youth Clean Up 19  Batting Gloves ORIG. $20.00 TODAY $16.07
http://links.bradsdeals.com/ss/c/LRVCKN7aOGSN8ueB-y13zHCplF2jU9jQ5jLQUC53I97HajvdXvBEo7B1ceE3SUFC7B-VfVpR79ku-ywMv3pnMBxkYiknX9FS8GdnjKunDGq0ws4kdVQLe6eNW5-LgRLaS1uLlgVjgWq36ZxFPgBT31j3_IOA7_VN6RfYmXif1c8AqGLDbBmpZSHGV3kuSGvJ4XPQuXjAexKY03RjKwpOQ3pz2IQG-uCcZsI6Gb8B3ww/32y/DkOx7onaQROd_PzENpIVBQ/h71/rt8JIX3MTT_6RQQgh3L4UI3xWaaoMAmlGxaS6qOIjVo	97ct Arm & Hammer Laundry Pods $9
